Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	FIRST_OF_PAIR	395666524	395666524	1	0	395642836	0.99994	59048806565	382644897	57157491990	56487884447	0	0.003813	0.003658	0.000179	150	394176016	0.996293	3304069	0.008351	0	0.499784	0.005465	0.000009	BS_Y2A1ZWZ8	GMKFWC.CDH796-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	SECOND_OF_PAIR	395666524	395666524	1	0	394199704	0.996293	58257300657	380987904	56406288526	54499070044	0	0.007384	0.007182	0.000175	150	394176016	0.99994	1860937	0.004721	0	0.499693	0.006253	0.000036	BS_Y2A1ZWZ8	GMKFWC.CDH796-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Y2A1ZWZ8	PAIR	791333048	791333048	1	0	789842540	0.998116	117306107222	763632801	113563780516	110986954491	0	0.005586	0.005408	0.000177	150	788352032	0.998113	5165006	0.006539	0	0.499738	0.005858	0.000023	BS_Y2A1ZWZ8	GMKFWC.CDH796-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	FIRST_OF_PAIR	434442473	434442473	1	0	434414359	0.999935	64533721534	406605286	60672799166	59734681998	0	0.004816	0.0041	0.000231	150	432993835	0.99673	11225781	0.025841	0	0.499766	0.027629	0.000006	BS_5VMT6TFE		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	SECOND_OF_PAIR	434442473	434442473	1	0	433021949	0.99673	63676605484	404486604	59917040918	57537498767	0	0.008262	0.007516	0.000223	150	432993835	0.999935	9833371	0.022709	0	0.499249	0.028163	0.000029	BS_5VMT6TFE		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	PAIR	868884946	868884946	1	0	867436308	0.998333	128210327018	811091890	120589840084	117272180765	0	0.006527	0.005797	0.000227	150	865987670	0.99833	21059152	0.024277	0	0.499508	0.027896	0.000017	BS_5VMT6TFE		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	FIRST_OF_PAIR	434442473	434442473	1	0	434414359	0.999935	64533721534	406605286	60672799166	59734681998	0	0.004816	0.0041	0.000231	150	432993835	0.99673	11225781	0.025841	0	0.499766	0.027629	0.000006	BS_5VMT6TFE	GMKFWC.CDH797-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	SECOND_OF_PAIR	434442473	434442473	1	0	433021949	0.99673	63676605484	404486604	59917040918	57537498767	0	0.008262	0.007516	0.000223	150	432993835	0.999935	9833371	0.022709	0	0.499249	0.028163	0.000029	BS_5VMT6TFE	GMKFWC.CDH797-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5VMT6TFE	PAIR	868884946	868884946	1	0	867436308	0.998333	128210327018	811091890	120589840084	117272180765	0	0.006527	0.005797	0.000227	150	865987670	0.99833	21059152	0.024277	0	0.499508	0.027896	0.000017	BS_5VMT6TFE	GMKFWC.CDH797-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	FIRST_OF_PAIR	375885890	375885890	1	0	375861442	0.999935	55877475150	361641258	53936050781	52920937264	0	0.004568	0.004124	0.000208	150	373785005	0.994476	9639747	0.025647	0	0.499714	0.025427	0.000004	BS_ETXYX56Z		
