0016b2d9-52b7-49c9-a034-c01a6071aacb.bam BS_CXN0498B
203d07a5-e921-4a45-9d59-a67e497d3f84.bam BS_QX0WT1J7
203d07a5-e921-4a45-9d59-a67e497d3f84.local.transcript.bam BS_QX0WT1J7
2107f327-40c9-4ff5-b539-3f332d3f6fed.bam BS_9DM8H1RX
212e3bf6-0966-4765-886c-1ed5b655d8a8.bam BS_6NWC29EZ
212e3bf6-0966-4765-886c-1ed5b655d8a8.local.transcript.bam BS_6NWC29EZ
2145ca63-6ef3-4065-ac56-7c4cf9ce2041.bam BS_MWN3XRFE
2145ca63-6ef3-4065-ac56-7c4cf9ce2041.local.transcript.bam BS_MWN3XRFE
22312f2b-d3ac-42f4-87ad-5326a3031aef.bam BS_J4E9SW51
22aaa196-514f-4c6e-858c-b10bf81fe020.bam BS_F8KR1QWE
22b3c1c6-5d60-4bd4-aeb5-1c860682a463.bam BS_2MFKAWQ5
22b3c1c6-5d60-4bd4-aeb5-1c860682a463.local.transcript.bam BS_2MFKAWQ5
22f3ee64-2e01-4b40-b55d-3ea4b402140e.bam BS_VMZMGB7B
22ffa38d-f32c-4c38-a091-403d72e5532e.bam BS_WD37M8SD
23b97dc7-3c85-445c-be9b-e6e4e02d452c.bam BS_G9YDCQ0M
23b97dc7-3c85-445c-be9b-e6e4e02d452c.local.transcript.bam BS_G9YDCQ0M
23df41e7-716d-42e9-a21c-604c399a5caf.bam BS_1ZGMM7TN
23df41e7-716d-42e9-a21c-604c399a5caf.local.transcript.bam BS_1ZGMM7TN
2407ea53-9c23-4455-adcc-16b88999193e.bam BS_J52D4XQY
249e1318-66e5-459f-94e5-7fad7532af68.bam BS_HYWE41QD
249e1318-66e5-459f-94e5-7fad7532af68.local.transcript.bam BS_HYWE41QD
24eaa526-6bb2-4bde-96a1-6d8789f9e2be.bam BS_3XM670F1
24eaa526-6bb2-4bde-96a1-6d8789f9e2be.local.transcript.bam BS_3XM670F1
255b9298-934b-428e-9b36-3b5ff063b41e.bam BS_JV9FT6X6
255b9298-934b-428e-9b36-3b5ff063b41e.local.transcript.bam BS_JV9FT6X6
25e3b6c3-af77-434f-ab6e-77f8b7073720.bam BS_XK7X2TKT
25f6e426-be3f-4684-b3a3-7b9151cb207c.bam BS_8ZDA605Z
25f6e426-be3f-4684-b3a3-7b9151cb207c.local.transcript.bam BS_8ZDA605Z
26117680-9e3c-407b-87e9-f969dc79b7d8.bam BS_9E6Q11G2
26172d3c-85cb-45df-aa8f-dcd244df32e6.bam BS_X9H9RJDZ
261f7b90-432c-4de9-bfa2-44a28073648e.bam BS_TK2C7JTT
261f7b90-432c-4de9-bfa2-44a28073648e.local.transcript.bam BS_TK2C7JTT
26f14f2d-65e0-40a4-a479-9a30ee126f2b.bam BS_VW96PFKQ
